OPERAÇÃO;MATRIZ;TEMPO DE EXECUÇÃO;
o;200x200;0.044770;
o;200x200;0.050262;
o;200x200;0.050146;
o;200x200;0.065056;
o;200x200;0.045278;
o;200x200;0.063685;
o;200x200;0.055712;
o;200x200;0.044276;
o;200x200;0.040292;
o;200x200;0.045833;
o;400x400;0.338248;
o;400x400;0.348224;
o;400x400;0.333196;
o;400x400;0.337891;
o;400x400;0.355188;
o;400x400;0.369148;
o;400x400;0.357260;
o;400x400;0.350480;
o;400x400;0.363441;
o;400x400;0.363130;
o;600x600;1.879377;
o;600x600;1.927036;
o;600x600;2.013825;
o;600x600;1.804367;
o;600x600;1.974041;
o;600x600;1.905645;
o;600x600;1.975878;
o;600x600;2.029165;
o;600x600;1.905368;
o;600x600;1.932705;
o;800x800;4.898039;
o;800x800;5.415030;
o;800x800;4.898767;
o;800x800;5.345198;
o;800x800;4.833945;
o;800x800;5.276580;
o;800x800;5.031454;
o;800x800;4.871305;
o;800x800;5.130171;
o;800x800;4.866632;
o;1000x1000;10.673208;
o;1000x1000;10.701407;
o;1000x1000;10.726714;
o;1000x1000;10.683028;
o;1000x1000;10.681684;
o;1000x1000;10.665364;
o;1000x1000;10.684952;
o;1000x1000;10.710652;
o;1000x1000;10.682469;
o;1000x1000;10.716312;
o;1200x1200;22.139322;
o;1200x1200;22.332588;
o;1200x1200;22.193291;
o;1200x1200;22.164841;
o;1200x1200;22.084719;
o;1200x1200;22.395565;
o;1200x1200;21.910515;
o;1200x1200;22.896549;
o;1200x1200;21.591328;
o;1200x1200;21.799688;
o;1400x1400;34.554028;
o;1400x1400;35.090424;
o;1400x1400;34.963280;
o;1400x1400;34.888962;
o;1400x1400;35.125668;
o;1400x1400;34.996696;
o;1400x1400;34.782627;
o;1400x1400;34.817867;
o;1400x1400;35.044857;
o;1400x1400;35.119297;
o;1600x1600;53.751839;
o;1600x1600;54.677364;
o;1600x1600;53.550194;
o;1600x1600;54.494827;
o;1600x1600;53.753548;
o;1600x1600;53.997372;
o;1600x1600;54.187531;
o;1600x1600;60.664177;
o;1600x1600;62.435974;
o;1600x1600;77.029373;
o;1800x1800;108.553719;
o;1800x1800;110.967636;
o;1800x1800;113.942917;
o;1800x1800;113.313454;
o;1800x1800;111.606522;
o;1800x1800;115.847412;
o;1800x1800;96.266327;
o;1800x1800;90.137283;
o;1800x1800;128.503281;
o;1800x1800;128.789597;
o;2000x2000;173.235046;
o;2000x2000;110.671265;
o;2000x2000;111.553490;
o;2000x2000;110.258736;
o;2000x2000;109.682587;
o;2000x2000;109.268074;
o;2000x2000;110.191368;
o;2000x2000;108.844841;
o;2000x2000;111.134521;
o;2000x2000;109.016373;
t;200x200;0.040084;
t;200x200;0.048375;
t;200x200;0.036100;
t;200x200;0.036544;
t;200x200;0.034757;
t;200x200;0.035010;
t;200x200;0.035337;
t;200x200;0.035633;
t;200x200;0.035013;
t;200x200;0.035225;
t;400x400;0.248510;
t;400x400;0.260731;
t;400x400;0.264128;
t;400x400;0.259692;
t;400x400;0.264292;
t;400x400;0.257405;
t;400x400;0.263975;
t;400x400;0.247899;
t;400x400;0.262510;
t;400x400;0.249235;
t;600x600;0.848565;
t;600x600;0.837447;
t;600x600;0.876154;
t;600x600;0.855124;
t;600x600;0.847123;
t;600x600;0.831976;
t;600x600;0.840819;
t;600x600;0.867888;
t;600x600;0.874014;
t;600x600;0.884687;
t;800x800;1.965039;
t;800x800;1.985753;
t;800x800;2.087068;
t;800x800;2.067324;
t;800x800;2.066695;
t;800x800;2.062991;
t;800x800;2.064705;
t;800x800;2.070657;
t;800x800;2.004140;
t;800x800;2.019541;
t;1000x1000;4.041625;
t;1000x1000;3.859725;
t;1000x1000;3.819604;
t;1000x1000;3.842702;
t;1000x1000;3.931744;
t;1000x1000;3.897946;
t;1000x1000;3.918947;
t;1000x1000;4.030105;
t;1000x1000;3.845267;
t;1000x1000;4.013081;
t;1200x1200;6.911330;
t;1200x1200;6.907866;
t;1200x1200;6.924565;
t;1200x1200;6.885196;
t;1200x1200;6.920281;
t;1200x1200;6.899009;
t;1200x1200;6.962452;
t;1200x1200;6.933256;
t;1200x1200;6.916649;
t;1200x1200;6.933491;
t;1400x1400;10.965524;
t;1400x1400;10.479252;
t;1400x1400;10.486106;
t;1400x1400;11.688245;
t;1400x1400;10.913006;
t;1400x1400;11.138907;
t;1400x1400;10.649490;
t;1400x1400;10.638310;
t;1400x1400;11.165600;
t;1400x1400;11.103578;
t;1600x1600;16.786552;
t;1600x1600;16.323753;
t;1600x1600;17.147404;
t;1600x1600;16.099747;
t;1600x1600;17.141397;
t;1600x1600;16.657045;
t;1600x1600;16.610746;
t;1600x1600;20.704388;
t;1600x1600;18.929873;
t;1600x1600;17.715748;
t;1800x1800;24.082209;
t;1800x1800;34.398685;
t;1800x1800;27.932148;
t;1800x1800;25.551826;
t;1800x1800;24.679781;
t;1800x1800;25.944614;
t;1800x1800;25.471872;
t;1800x1800;24.791998;
t;1800x1800;22.653538;
t;1800x1800;23.164015;
t;2000x2000;32.110935;
t;2000x2000;31.368818;
t;2000x2000;32.267132;
t;2000x2000;31.482277;
t;2000x2000;31.458637;
t;2000x2000;31.565939;
t;2000x2000;31.998743;
t;2000x2000;32.229633;
t;2000x2000;31.915764;
t;2000x2000;31.607906;
